months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,auto_make,auto_year,fraud_reported
81,28,IL,250/500,1000,1139.0,6000000,FEMALE,Masters,sales,husband,42400,0,2015-01-14,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,0,3,?,1,2,?,Saab,2000,Y
280,45,IN,250/500,1000,1397.67,0,MALE,JD,machine-op-inspct,wife,57900,0,2015-01-22,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NY,0,3,YES,1,2,NO,Ford,1999,N
194,39,IN,250/500,500,823.17,0,MALE,Masters,adm-clerical,own-child,0,0,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,3,3,?,2,2,NO,Dodge,2012,N
112,27,OH,100/300,500,965.13,0,FEMALE,Masters,tech-support,unmarried,60000,-54800,2015-02-22,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,21,3,?,0,1,?,Nissan,2013,N
24,33,IL,500/1000,1000,1922.84,0,FEMALE,High School,machine-op-inspct,wife,0,-45200,2015-01-24,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,0,1,?,2,1,NO,Jeep,2002,N
93,32,OH,250/500,2000,1624.82,0,MALE,PhD,exec-managerial,unmarried,65300,-65600,2015-02-09,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,16,1,?,1,1,?,BMW,2006,N
171,34,IN,250/500,2000,1277.25,0,FEMALE,College,exec-managerial,other-relative,84900,0,2015-01-19,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,14,1,NO,1,2,?,Volkswagen,1996,Y
200,40,IL,100/300,1000,1439.34,0,FEMALE,High School,sales,other-relative,45300,-20400,2015-01-01,Vehicle Theft,?,Minor Damage,Police,VA,9,1,?,0,0,NO,Ford,2015,N
120,28,IL,250/500,1000,1281.27,0,FEMALE,PhD,tech-support,not-in-family,68900,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,9,3,NO,0,3,?,BMW,2010,N
325,46,IL,500/1000,500,1348.83,0,FEMALE,High School,prof-specialty,wife,46300,-77500,2015-02-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,21,3,?,1,2,YES,Toyota,1999,N
124,32,IL,250/500,1000,1198.15,0,FEMALE,MD,other-service,not-in-family,0,-43200,2015-02-21,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,19,3,NO,0,2,YES,BMW,1995,N
211,35,OH,100/300,2000,1221.22,0,MALE,Masters,machine-op-inspct,other-relative,76000,0,2015-01-21,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,2,1,YES,0,1,?,Mercedes,2008,N
287,41,IL,500/1000,2000,968.74,0,MALE,Masters,transport-moving,wife,0,-49000,2015-01-19,Vehicle Theft,?,Trivial Damage,None,SC,9,1,?,2,3,?,Suburu,2001,N
122,34,IN,250/500,1000,1220.71,0,MALE,PhD,machine-op-inspct,own-child,58600,-28700,2015-02-27,Parked Car,?,Minor Damage,None,SC,5,1,?,2,1,YES,Chevrolet,2013,N
22,29,IN,250/500,2000,1238.62,6000000,MALE,MD,exec-managerial,other-relative,0,-56200,2015-02-14,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,14,1,?,2,3,?,Accura,2012,Y
106,31,IL,500/1000,2000,1320.75,0,FEMALE,JD,farming-fishing,wife,54100,0,2015-02-01,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,20,3,?,0,3,YES,Accura,2011,N
398,58,OH,100/300,500,990.98,0,FEMALE,Associate,exec-managerial,wife,0,-57900,2015-02-02,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,18,1,YES,2,1,?,Accura,2002,Y
214,41,IL,500/1000,500,1398.51,4000000,MALE,Masters,tech-support,not-in-family,0,-57100,2015-02-01,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NC,13,3,?,2,0,NO,BMW,1996,Y
209,38,OH,100/300,500,1355.08,0,FEMALE,MD,other-service,other-relative,58100,0,2015-01-19,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,21,1,?,1,1,?,Nissan,2014,N
82,27,IL,100/300,1000,1384.51,0,MALE,PhD,adm-clerical,not-in-family,13100,-38200,2015-02-18,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,14,1,NO,2,3,?,Volkswagen,2007,Y
193,41,OH,250/500,500,847.03,0,FEMALE,JD,craft-repair,not-in-family,0,0,2015-02-08,Single Vehicle Collision,Side Collision,Major Damage,Other,SC,1,1,?,1,0,YES,Suburu,2011,Y
134,32,OH,100/300,1000,1000.06,0,FEMALE,PhD,farming-fishing,wife,0,0,2015-01-09,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,17,1,?,1,0,?,Audi,2014,N
288,45,IL,100/300,1000,1046.71,0,MALE,Masters,priv-house-serv,husband,0,0,2015-02-27,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,4,3,?,2,1,?,Mercedes,2009,N
104,32,IN,250/500,500,1158.03,0,MALE,High School,exec-managerial,own-child,31900,-44600,2015-01-08,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,23,3,YES,1,3,YES,Volkswagen,2006,Y
431,54,OH,100/300,1000,1372.27,0,FEMALE,Masters,craft-repair,own-child,17600,0,2015-01-08,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,13,3,NO,2,3,?,Suburu,1997,N
101,33,OH,100/300,1000,1053.04,7000000,FEMALE,Masters,other-service,own-child,52000,-44500,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,20,3,NO,1,3,?,Saab,2013,Y
375,50,OH,100/300,1000,1275.39,0,MALE,Associate,sales,other-relative,0,0,2015-02-12,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,16,1,YES,2,3,NO,Audi,1996,Y
461,61,OH,100/300,2000,1402.75,0,MALE,JD,exec-managerial,husband,0,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,10,3,?,2,1,YES,Jeep,2006,N
428,59,IN,250/500,500,1344.36,7000000,FEMALE,JD,prof-specialty,other-relative,0,0,2015-02-06,Parked Car,?,Minor Damage,None,WV,8,1,?,2,3,NO,Saab,2013,N
45,38,IN,100/300,1000,1197.71,0,MALE,Masters,machine-op-inspct,not-in-family,29000,0,2015-02-14,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,17,3,?,2,0,?,Suburu,2013,N
136,29,OH,100/300,500,1203.24,0,FEMALE,JD,transport-moving,other-relative,62500,-66900,2015-02-05,Vehicle Theft,?,Minor Damage,Police,NY,9,1,?,2,0,?,Honda,1999,N
216,36,IN,500/1000,1000,1152.4,0,FEMALE,Associate,priv-house-serv,unmarried,39600,-82400,2015-01-25,Parked Car,?,Minor Damage,Police,VA,0,1,YES,2,3,?,Mercedes,2014,N
278,48,IN,500/1000,2000,1142.62,7000000,FEMALE,MD,farming-fishing,not-in-family,0,-54000,2015-01-16,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,12,1,?,2,0,?,Chevrolet,1997,N
295,48,OH,500/1000,1000,1332.07,0,FEMALE,MD,exec-managerial,unmarried,49700,-59100,2015-01-28,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,20,2,NO,2,1,YES,Volkswagen,2002,N
112,30,OH,500/1000,1000,1166.54,0,FEMALE,Masters,prof-specialty,not-in-family,47700,-59300,2015-01-21,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,3,1,YES,2,0,NO,Dodge,1997,Y
122,34,IL,250/500,500,1495.06,0,FEMALE,Masters,prof-specialty,unmarried,38100,-31400,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,PA,18,3,NO,2,0,YES,Mercedes,2011,N
108,29,IN,500/1000,1000,1337.92,0,FEMALE,PhD,armed-forces,not-in-family,71400,0,2015-02-23,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,4,3,NO,2,2,YES,Suburu,2012,N
14,28,OH,250/500,2000,1587.96,0,FEMALE,Associate,craft-repair,unmarried,0,-26900,2015-02-14,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,18,1,?,2,1,YES,Audi,2012,Y
298,45,IL,500/1000,1000,1362.29,0,MALE,High School,farming-fishing,unmarried,0,-51100,2015-02-27,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,18,3,NO,0,0,NO,Saab,1999,N
276,46,IL,250/500,500,1448.84,0,FEMALE,Masters,machine-op-inspct,husband,0,-50000,2015-02-21,Parked Car,?,Trivial Damage,Police,SC,7,1,?,0,1,NO,Toyota,2015,N
47,37,IN,250/500,2000,1241.97,0,MALE,High School,other-service,not-in-family,75400,0,2015-01-05,Parked Car,?,Minor Damage,None,NY,18,1,NO,1,0,NO,Jeep,2011,N
222,42,IL,250/500,500,1124.6,0,MALE,Associate,armed-forces,not-in-family,0,0,2015-01-30,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,23,3,YES,0,0,?,Jeep,2006,N
119,28,OH,250/500,2000,1079.92,0,MALE,High School,machine-op-inspct,husband,88800,0,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,1,1,?,0,1,YES,Volkswagen,2007,Y
73,29,IL,250/500,1000,1447.78,0,MALE,College,protective-serv,wife,35100,-59900,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,15,3,YES,1,0,?,Dodge,2001,N
8,31,IN,250/500,500,1229.16,4000000,FEMALE,MD,transport-moving,wife,0,-88300,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,2,3,?,0,2,YES,Volkswagen,2014,N
294,44,IL,100/300,1000,1226.49,0,FEMALE,PhD,farming-fishing,unmarried,53900,0,2015-02-05,Vehicle Theft,?,Trivial Damage,None,WV,3,1,NO,0,1,NO,Ford,2002,N
324,46,IN,100/300,2000,897.89,6000000,MALE,MD,tech-support,wife,0,-41300,2015-01-21,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,13,1,?,1,0,YES,Jeep,2011,N
155,34,IN,100/300,500,1706.79,0,MALE,Masters,protective-serv,other-relative,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,1,1,NO,1,1,YES,Honda,1998,N
261,45,IL,250/500,1000,1254.18,0,FEMALE,PhD,prof-specialty,other-relative,0,-45100,2015-01-11,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,16,1,YES,0,1,?,Volkswagen,2003,N
245,40,IN,500/1000,500,885.08,0,FEMALE,Masters,armed-forces,other-relative,27000,-58900,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,0,1,YES,0,1,NO,Chevrolet,1998,N
235,39,IL,100/300,500,1046.58,4000000,MALE,MD,tech-support,wife,0,-31700,2015-01-24,Vehicle Theft,?,Trivial Damage,None,NY,1,1,?,2,1,NO,Chevrolet,2010,N
53,36,OH,500/1000,2000,1712.68,0,MALE,Associate,handlers-cleaners,not-in-family,72200,0,2015-02-18,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,17,3,?,2,0,YES,Audi,2006,N
426,54,IL,500/1000,2000,1097.71,0,FEMALE,Masters,adm-clerical,not-in-family,29600,-22300,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,13,1,YES,2,3,?,Dodge,1997,N
111,27,IN,250/500,500,1363.77,4000000,FEMALE,Masters,tech-support,husband,51100,0,2015-01-17,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,12,1,YES,2,3,NO,Accura,2009,N
86,26,OH,100/300,500,1382.88,7000000,MALE,JD,tech-support,other-relative,0,-30300,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,11,1,?,1,1,YES,Chevrolet,2011,Y
296,46,OH,100/300,1000,1141.35,7000000,MALE,Masters,craft-repair,not-in-family,0,0,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,18,1,?,0,2,NO,Mercedes,2013,N
125,35,OH,500/1000,500,1054.83,7000000,MALE,JD,tech-support,husband,0,-51300,2015-02-25,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,17,1,YES,2,3,NO,Mercedes,2007,Y
177,34,IL,100/300,2000,1057.77,0,FEMALE,JD,tech-support,unmarried,0,-57700,2015-02-16,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,22,3,?,1,1,NO,Audi,2009,N
238,39,IN,250/500,2000,1488.02,0,FEMALE,JD,protective-serv,other-relative,0,-39200,2015-02-25,Vehicle Theft,?,Minor Damage,Police,NY,9,1,YES,1,3,YES,Chevrolet,2010,N
81,25,IN,100/300,500,920.3,5000000,FEMALE,High School,tech-support,own-child,51000,-67900,2015-02-21,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,11,3,?,1,0,?,Honda,2003,Y
128,28,OH,500/1000,1000,986.53,0,FEMALE,High School,adm-clerical,other-relative,62700,0,2015-02-16,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,11,1,NO,0,2,YES,Honda,2007,N
449,57,OH,250/500,2000,1440.68,0,MALE,Associate,tech-support,own-child,25000,0,2015-02-09,Parked Car,?,Minor Damage,None,SC,8,1,YES,0,1,YES,Volkswagen,2008,N
252,39,IN,250/500,1000,1086.21,0,MALE,JD,farming-fishing,unmarried,68500,-57500,2015-02-13,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,18,1,?,1,2,?,Nissan,2001,N
359,47,OH,100/300,2000,1367.68,0,FEMALE,MD,handlers-cleaners,unmarried,0,0,2015-01-11,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,13,1,NO,0,3,NO,Mercedes,2012,N
19,32,OH,500/1000,1000,1215.85,0,MALE,High School,other-service,husband,42900,-90200,2015-01-02,Vehicle Theft,?,Minor Damage,Police,VA,8,1,YES,1,1,YES,Nissan,2015,N
73,26,IL,250/500,2000,1191.19,4000000,MALE,MD,farming-fishing,not-in-family,29300,0,2015-02-12,Multi-vehicle Collision,Rear Collision,Total Loss,Other,VA,9,3,?,0,1,YES,Chevrolet,2003,N
285,44,IL,500/1000,1000,1594.45,0,MALE,High School,handlers-cleaners,husband,0,0,2015-02-05,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,17,2,YES,2,3,NO,Saab,2006,N
196,36,IN,250/500,2000,1463.07,0,MALE,MD,armed-forces,own-child,0,0,2015-01-24,Vehicle Theft,?,Trivial Damage,Police,WV,3,1,?,1,1,NO,Jeep,2001,Y
223,43,OH,250/500,500,1734.09,0,FEMALE,MD,adm-clerical,not-in-family,0,0,2015-01-12,Parked Car,?,Trivial Damage,None,WV,6,1,YES,0,3,?,Accura,2006,N
328,48,IL,250/500,500,1411.43,0,MALE,Masters,armed-forces,own-child,45100,-32800,2015-01-16,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,17,1,YES,2,1,NO,Honda,2014,N
285,43,OH,100/300,2000,1512.58,0,FEMALE,College,sales,other-relative,47600,0,2015-01-13,Vehicle Theft,?,Minor Damage,Police,SC,7,1,?,1,1,?,BMW,1997,N
30,31,IL,250/500,2000,1153.35,0,MALE,PhD,craft-repair,not-in-family,0,0,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,NY,9,1,NO,2,1,YES,Suburu,2011,N
342,49,OH,250/500,500,1722.95,0,MALE,PhD,transport-moving,not-in-family,63100,-13800,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,3,1,?,2,0,YES,Suburu,2006,N
219,39,IN,250/500,2000,1281.07,7000000,FEMALE,High School,protective-serv,unmarried,0,0,2015-01-18,Parked Car,?,Trivial Damage,Police,NY,6,1,NO,0,2,NO,Chevrolet,2015,N
468,62,IL,100/300,500,1011.92,0,MALE,PhD,machine-op-inspct,wife,0,0,2015-02-15,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,7,3,YES,0,3,?,Chevrolet,2009,N
241,39,IL,250/500,2000,1042.26,0,MALE,JD,sales,husband,0,0,2015-01-31,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,21,3,NO,1,2,?,Saab,1995,N
223,43,OH,500/1000,500,1235.1,0,FEMALE,Masters,tech-support,not-in-family,66400,-34400,2015-02-10,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,14,1,NO,2,1,NO,BMW,2011,N
128,32,OH,100/300,2000,768.91,0,FEMALE,College,sales,other-relative,0,-39300,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,0,1,?,1,0,NO,Ford,1999,Y
124,29,OH,500/1000,500,1301.72,0,MALE,Masters,handlers-cleaners,husband,0,0,2015-02-25,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,14,3,?,0,3,YES,Audi,2005,N
343,48,IN,250/500,500,1451.54,3000000,MALE,JD,adm-clerical,husband,0,0,2015-01-08,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,13,4,NO,2,3,NO,Mercedes,2003,N
404,53,IN,250/500,500,767.14,0,MALE,Associate,sales,not-in-family,25500,-36700,2015-01-14,Parked Car,?,Trivial Damage,Police,WV,8,1,NO,0,1,NO,Suburu,2002,N
63,24,OH,250/500,2000,1620.89,0,FEMALE,High School,handlers-cleaners,other-relative,0,0,2015-02-03,Vehicle Theft,?,Minor Damage,Police,NC,7,1,NO,2,0,NO,Toyota,2015,N
210,37,IN,500/1000,2000,1048.46,0,MALE,High School,priv-house-serv,not-in-family,59900,0,2015-01-05,Vehicle Theft,?,Trivial Damage,None,OH,9,1,?,1,2,?,Dodge,1999,N
335,50,OH,100/300,1000,1538.26,6000000,MALE,High School,sales,other-relative,62200,-31400,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,12,3,YES,2,3,YES,Volkswagen,2009,N
11,40,OH,500/1000,2000,1217.69,0,FEMALE,MD,prof-specialty,wife,24000,0,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,6,3,?,1,0,?,Dodge,2004,Y
142,33,IN,100/300,2000,1362.64,5000000,FEMALE,JD,exec-managerial,wife,0,0,2015-01-21,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,11,1,YES,1,3,?,Suburu,2009,Y
272,43,OH,100/300,1000,1279.13,0,MALE,PhD,craft-repair,other-relative,0,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,5,3,?,1,2,YES,Audi,2006,Y
69,26,IL,100/300,2000,924.72,0,FEMALE,High School,machine-op-inspct,unmarried,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,14,1,NO,2,2,NO,Audi,2008,N
38,28,OH,250/500,1000,1019.44,0,MALE,Masters,transport-moving,not-in-family,0,-39700,2015-02-10,Vehicle Theft,?,Trivial Damage,None,NC,17,1,?,2,1,NO,BMW,2004,N
328,46,IL,500/1000,500,1314.6,0,FEMALE,MD,prof-specialty,not-in-family,24800,0,2015-02-23,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,0,1,?,2,3,?,Saab,1998,Y
281,43,OH,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,other-relative,0,0,2015-01-09,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,21,3,NO,1,0,NO,BMW,1999,N
246,44,OH,250/500,2000,1649.18,0,MALE,College,farming-fishing,other-relative,0,-58600,2015-02-22,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,18,1,YES,1,2,YES,Honda,2009,Y
298,49,OH,250/500,500,1451.01,0,FEMALE,College,other-service,own-child,47800,0,2015-02-21,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,17,1,NO,2,2,NO,Jeep,2012,N
330,50,IL,500/1000,1000,978.46,0,FEMALE,High School,sales,husband,0,0,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,19,1,YES,0,0,NO,Chevrolet,1995,N
362,50,IL,250/500,500,1198.34,4000000,MALE,Associate,sales,wife,53000,-72500,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,17,3,?,1,1,NO,Mercedes,1995,N
241,38,IN,100/300,2000,1003.23,0,FEMALE,Associate,tech-support,not-in-family,0,0,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,23,3,?,0,3,YES,Accura,2008,N
245,41,IN,500/1000,2000,1212.0,0,MALE,Masters,exec-managerial,unmarried,24400,-60500,2015-01-28,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,4,1,YES,0,1,YES,Jeep,1999,N
371,52,IL,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,own-child,0,-37100,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,2,2,YES,2,0,?,Accura,2010,N
343,52,IL,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,not-in-family,0,0,2015-02-16,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,2,1,?,0,2,NO,Toyota,2005,Y
377,53,IL,100/300,500,1693.63,0,FEMALE,MD,craft-repair,unmarried,0,-64000,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,10,3,YES,1,3,NO,Saab,2015,N
154,37,IL,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,other-relative,0,-67800,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,2,1,?,0,3,NO,Accura,2000,N
166,34,OH,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,wife,65600,-68200,2015-02-09,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,18,1,NO,0,2,YES,Honda,2005,N
298,46,OH,500/1000,1000,1138.42,6000000,MALE,JD,prof-specialty,own-child,36900,-55000,2015-02-16,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,18,1,NO,2,3,YES,Volkswagen,2005,N
235,42,IN,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,husband,39900,-60200,2015-02-18,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,7,4,?,2,1,YES,Toyota,2006,N
172,35,IL,100/300,2000,1219.04,0,MALE,MD,handlers-cleaners,own-child,63600,-68700,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,19,3,?,2,0,NO,Nissan,1999,N
27,28,IN,100/300,2000,1371.78,0,MALE,JD,farming-fishing,other-relative,0,-32500,2015-02-04,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,10,3,?,0,2,YES,Audi,2015,Y
428,54,IN,100/300,2000,1506.21,0,MALE,Masters,transport-moving,unmarried,0,-24400,2015-01-22,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,16,3,NO,1,0,?,Nissan,2009,N
99,32,IN,100/300,1000,1058.21,3000000,MALE,JD,craft-repair,unmarried,0,0,2015-01-10,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,17,1,YES,1,1,NO,Dodge,1999,N
107,26,IL,500/1000,2000,932.14,0,MALE,MD,sales,own-child,40600,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,2,3,NO,2,3,NO,Audi,1996,Y
272,41,OH,500/1000,2000,1608.34,0,FEMALE,Associate,farming-fishing,own-child,33300,-10600,2015-02-16,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,19,1,?,1,1,?,Saab,2010,N
151,37,IN,500/1000,1000,1728.56,0,FEMALE,Masters,farming-fishing,own-child,54000,0,2015-02-08,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,0,1,YES,1,1,?,Suburu,1999,N
249,43,IL,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,own-child,0,0,2015-01-26,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,16,1,?,0,0,YES,Saab,2015,N
177,38,IL,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,other-relative,0,-74500,2015-02-01,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,20,1,YES,2,0,NO,Chevrolet,2001,Y
190,40,OH,500/1000,2000,965.21,0,FEMALE,JD,exec-managerial,other-relative,36900,-53700,2015-02-02,Parked Car,?,Trivial Damage,None,SC,10,1,?,2,1,YES,Nissan,2001,N
174,36,IL,100/300,2000,1278.75,0,FEMALE,College,tech-support,own-child,53200,-53800,2015-02-06,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,21,3,?,2,2,NO,Dodge,2012,N
95,28,OH,250/500,1000,773.99,0,MALE,Associate,armed-forces,other-relative,0,-70300,2015-01-01,Vehicle Theft,?,Trivial Damage,None,PA,3,1,YES,1,2,NO,Mercedes,2014,N
371,51,IN,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,other-relative,60300,-24700,2015-01-19,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,7,1,YES,0,3,YES,Dodge,2012,Y
2,28,IL,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,not-in-family,0,0,2015-01-17,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,19,1,YES,0,2,YES,Saab,2008,N
269,44,OH,100/300,500,1297.75,4000000,FEMALE,JD,other-service,own-child,0,-41400,2015-02-01,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,15,3,?,0,1,?,Chevrolet,2010,Y
101,27,IL,250/500,1000,433.33,0,MALE,Masters,machine-op-inspct,other-relative,25900,0,2015-01-02,Parked Car,?,Minor Damage,None,SC,7,1,?,0,3,NO,Mercedes,2009,N
94,30,IN,250/500,2000,1025.54,0,FEMALE,High School,armed-forces,other-relative,0,-52600,2015-02-20,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,19,1,?,1,3,YES,Chevrolet,2001,N
117,28,OH,250/500,500,1264.77,0,FEMALE,Associate,transport-moving,unmarried,47500,-32500,2015-02-05,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,13,2,YES,0,1,?,Suburu,2009,Y
111,27,OH,250/500,500,1459.97,5000000,MALE,MD,sales,other-relative,0,0,2015-02-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,2,3,NO,1,2,NO,Ford,2011,Y
242,40,OH,100/300,500,1238.65,0,FEMALE,High School,transport-moving,husband,0,-44600,2015-01-27,Vehicle Theft,?,Trivial Damage,Police,WV,5,1,YES,1,1,NO,Saab,1998,N
440,61,OH,250/500,500,1050.76,0,MALE,PhD,transport-moving,wife,41500,-70200,2015-01-26,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,21,1,?,2,3,NO,Nissan,2004,Y
20,23,OH,500/1000,1000,1711.72,0,FEMALE,JD,tech-support,wife,0,0,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,21,3,NO,2,2,NO,Chevrolet,2002,Y
461,57,IL,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,own-child,0,0,2015-01-14,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,7,3,NO,0,1,?,Dodge,1995,N
208,36,IL,250/500,500,1153.49,0,MALE,Associate,craft-repair,other-relative,0,0,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,16,3,YES,1,0,YES,Accura,2004,N
279,43,OH,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,other-relative,0,0,2015-01-17,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,13,1,YES,0,1,NO,Mercedes,2010,Y
244,40,IL,100/300,500,1342.8,0,FEMALE,MD,sales,husband,0,0,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,NY,2,1,YES,1,3,YES,Toyota,2014,N
